idSubmercado;AttMatriz;Iteradores;1;2;3
3;percentual_variacao_patamar_carga;03/01/24;1.1038;1.0667;0.9246
3;percentual_variacao_patamar_carga;04/01/24;1.09;1.0595;0.912
3;percentual_variacao_patamar_carga;05/01/24;1.0958;1.0446;0.9118
3;percentual_variacao_patamar_carga;06/01/24;1.0909;1.0458;0.917
3;percentual_variacao_patamar_carga;07/01/24;1.0846;1.0379;0.9099
3;percentual_variacao_patamar_carga;08/01/24;1.0898;1.0417;0.9108
3;percentual_variacao_patamar_carga;09/01/24;1.1021;1.0638;0.9087
3;percentual_variacao_patamar_carga;10/01/24;1.0958;1.0489;0.9118
3;percentual_variacao_patamar_carga;11/01/24;1.1194;1.0488;0.9233
3;percentual_variacao_patamar_carga;12/01/24;1.1077;1.0461;0.928
4;percentual_variacao_patamar_carga;01/01/20;1.0469;1.0246;0.9637
4;percentual_variacao_patamar_carga;02/01/20;1.0513;1.0361;0.9603
4;percentual_variacao_patamar_carga;03/01/20;1.0518;1.0439;0.9506
4;percentual_variacao_patamar_carga;04/01/20;1.0604;1.0464;0.9458
4;percentual_variacao_patamar_carga;05/01/20;1.0649;1.0181;0.9495
4;percentual_variacao_patamar_carga;06/01/20;1.0609;1.0104;0.9486
4;percentual_variacao_patamar_carga;07/01/20;1.0449;1.0072;0.9581
4;percentual_variacao_patamar_carga;08/01/20;1.0598;1.01;0.9524
4;percentual_variacao_patamar_carga;09/01/20;1.0556;1.0424;0.9467
4;percentual_variacao_patamar_carga;10/01/20;1.0503;1.0328;0.9565
4;percentual_variacao_patamar_carga;11/01/20;1.0521;1.0282;0.963
4;percentual_variacao_patamar_carga;12/01/20;1.0394;1.0234;0.968
4;percentual_variacao_patamar_carga;01/01/21;1.0514;1.0293;0.9645
4;percentual_variacao_patamar_carga;02/01/21;1.0506;1.0353;0.9589
4;percentual_variacao_patamar_carga;03/01/21;1.0483;1.0409;0.9506
4;percentual_variacao_patamar_carga;04/01/21;1.0598;1.0463;0.9462
4;percentual_variacao_patamar_carga;05/01/21;1.0637;1.0159;0.9471
4;percentual_variacao_patamar_carga;06/01/21;1.0606;1.0102;0.9489
4;percentual_variacao_patamar_carga;07/01/21;1.0465;1.0093;0.9592
4;percentual_variacao_patamar_carga;08/01/21;1.058;1.0077;0.9508
4;percentual_variacao_patamar_carga;09/01/21;1.056;1.0425;0.9464
4;percentual_variacao_patamar_carga;10/01/21;1.0534;1.035;0.9568
4;percentual_variacao_patamar_carga;11/01/21;1.0521;1.0282;0.963
4;percentual_variacao_patamar_carga;12/01/21;1.0381;1.0211;0.9676
4;percentual_variacao_patamar_carga;01/01/22;1.0505;1.0278;0.963
4;percentual_variacao_patamar_carga;02/01/22;1.0471;1.0323;0.9589
4;percentual_variacao_patamar_carga;03/01/22;1.0511;1.0438;0.951
4;percentual_variacao_patamar_carga;04/01/22;1.0617;1.0475;0.9483
4;percentual_variacao_patamar_carga;05/01/22;1.0601;1.0126;0.947
4;percentual_variacao_patamar_carga;06/01/22;1.0606;1.0102;0.9489
4;percentual_variacao_patamar_carga;07/01/22;1.0495;1.0123;0.9589
4;percentual_variacao_patamar_carga;08/01/22;1.0546;1.0045;0.951
4;percentual_variacao_patamar_carga;09/01/22;1.0556;1.0422;0.9468
4;percentual_variacao_patamar_carga;10/01/22;1.0533;1.0353;0.9567
4;percentual_variacao_patamar_carga;11/01/22;1.0521;1.0282;0.963
4;percentual_variacao_patamar_carga;12/01/22;1.0381;1.0218;0.9695
4;percentual_variacao_patamar_carga;01/01/23;1.0473;1.0246;0.9635
4;percentual_variacao_patamar_carga;02/01/23;1.0506;1.0353;0.9589
4;percentual_variacao_patamar_carga;03/01/23;1.0477;1.0409;0.9509
4;percentual_variacao_patamar_carga;04/01/23;1.066;1.0504;0.9486
4;percentual_variacao_patamar_carga;05/01/23;1.0597;1.0122;0.9475
4;percentual_variacao_patamar_carga;06/01/23;1.0606;1.0102;0.9489
4;percentual_variacao_patamar_carga;07/01/23;1.0499;1.0126;0.9585
4;percentual_variacao_patamar_carga;08/01/23;1.0544;1.0044;0.9512
4;percentual_variacao_patamar_carga;09/01/23;1.0577;1.0437;0.9485
4;percentual_variacao_patamar_carga;10/01/23;1.0519;1.0348;0.9547
4;percentual_variacao_patamar_carga;11/01/23;1.0521;1.0282;0.963
4;percentual_variacao_patamar_carga;12/01/23;1.0431;1.0271;0.969
4;percentual_variacao_patamar_carga;01/01/24;1.0469;1.0244;0.9638
4;percentual_variacao_patamar_carga;02/01/24;1.0497;1.0346;0.9587
4;percentual_variacao_patamar_carga;03/01/24;1.0562;1.0482;0.9532
4;percentual_variacao_patamar_carga;04/01/24;1.0535;1.0419;0.9445
4;percentual_variacao_patamar_carga;05/01/24;1.0635;1.0155;0.9474
4;percentual_variacao_patamar_carga;06/01/24;1.063;1.0137;0.9499
4;percentual_variacao_patamar_carga;07/01/24;1.0453;1.0073;0.9577
4;percentual_variacao_patamar_carga;08/01/24;1.0561;1.0068;0.9527
4;percentual_variacao_patamar_carga;09/01/24;1.058;1.0436;0.9447
4;percentual_variacao_patamar_carga;10/01/24;1.0473;1.0309;0.9531
4;percentual_variacao_patamar_carga;11/01/24;1.0521;1.0282;0.963
4;percentual_variacao_patamar_carga;12/01/24;1.0428;1.0261;0.9673
5;percentual_variacao_patamar_carga;01/01/20;0;0;0
5;percentual_variacao_patamar_carga;02/01/20;0;0;0
5;percentual_variacao_patamar_carga;03/01/20;0;0;0
5;percentual_variacao_patamar_carga;04/01/20;0;0;0
5;percentual_variacao_patamar_carga;05/01/20;0;0;0
5;percentual_variacao_patamar_carga;06/01/20;0;0;0
5;percentual_variacao_patamar_carga;07/01/20;0;0;0
5;percentual_variacao_patamar_carga;08/01/20;0;0;0
5;percentual_variacao_patamar_carga;09/01/20;0;0;0
5;percentual_variacao_patamar_carga;10/01/20;0;0;0
5;percentual_variacao_patamar_carga;11/01/20;0;0;0
5;percentual_variacao_patamar_carga;12/01/20;0;0;0
5;percentual_variacao_patamar_carga;01/01/21;0;0;0
5;percentual_variacao_patamar_carga;02/01/21;0;0;0
5;percentual_variacao_patamar_carga;03/01/21;0;0;0
5;percentual_variacao_patamar_carga;04/01/21;0;0;0
5;percentual_variacao_patamar_carga;05/01/21;0;0;0
5;percentual_variacao_patamar_carga;06/01/21;0;0;0
5;percentual_variacao_patamar_carga;07/01/21;0;0;0
5;percentual_variacao_patamar_carga;08/01/21;0;0;0
5;percentual_variacao_patamar_carga;09/01/21;0;0;0
5;percentual_variacao_patamar_carga;10/01/21;0;0;0
5;percentual_variacao_patamar_carga;11/01/21;0;0;0
5;percentual_variacao_patamar_carga;12/01/21;0;0;0
5;percentual_variacao_patamar_carga;01/01/22;0;0;0
5;percentual_variacao_patamar_carga;02/01/22;0;0;0
5;percentual_variacao_patamar_carga;03/01/22;0;0;0
5;percentual_variacao_patamar_carga;04/01/22;0;0;0
5;percentual_variacao_patamar_carga;05/01/22;0;0;0
5;percentual_variacao_patamar_carga;06/01/22;0;0;0
5;percentual_variacao_patamar_carga;07/01/22;0;0;0
5;percentual_variacao_patamar_carga;08/01/22;0;0;0
5;percentual_variacao_patamar_carga;09/01/22;0;0;0
5;percentual_variacao_patamar_carga;10/01/22;0;0;0
5;percentual_variacao_patamar_carga;11/01/22;0;0;0
5;percentual_variacao_patamar_carga;12/01/22;0;0;0
5;percentual_variacao_patamar_carga;01/01/23;0;0;0
5;percentual_variacao_patamar_carga;02/01/23;0;0;0
5;percentual_variacao_patamar_carga;03/01/23;0;0;0
5;percentual_variacao_patamar_carga;04/01/23;0;0;0
5;percentual_variacao_patamar_carga;05/01/23;0;0;0
5;percentual_variacao_patamar_carga;06/01/23;0;0;0
5;percentual_variacao_patamar_carga;07/01/23;0;0;0
5;percentual_variacao_patamar_carga;08/01/23;0;0;0
5;percentual_variacao_patamar_carga;09/01/23;0;0;0
5;percentual_variacao_patamar_carga;10/01/23;0;0;0
5;percentual_variacao_patamar_carga;11/01/23;0;0;0
5;percentual_variacao_patamar_carga;12/01/23;0;0;0
5;percentual_variacao_patamar_carga;01/01/24;0;0;0
5;percentual_variacao_patamar_carga;02/01/24;0;0;0
5;percentual_variacao_patamar_carga;03/01/24;0;0;0
5;percentual_variacao_patamar_carga;04/01/24;0;0;0
5;percentual_variacao_patamar_carga;05/01/24;0;0;0
5;percentual_variacao_patamar_carga;06/01/24;0;0;0
5;percentual_variacao_patamar_carga;07/01/24;0;0;0
5;percentual_variacao_patamar_carga;08/01/24;0;0;0
5;percentual_variacao_patamar_carga;09/01/24;0;0;0
5;percentual_variacao_patamar_carga;10/01/24;0;0;0
5;percentual_variacao_patamar_carga;11/01/24;0;0;0
5;percentual_variacao_patamar_carga;12/01/24;0;0;0
6;percentual_variacao_patamar_carga;01/01/20;1;1;1
6;percentual_variacao_patamar_carga;02/01/20;1;1;1
6;percentual_variacao_patamar_carga;03/01/20;1;1;1
6;percentual_variacao_patamar_carga;04/01/20;1;1;1
6;percentual_variacao_patamar_carga;05/01/20;1;1;1
6;percentual_variacao_patamar_carga;06/01/20;1;1;1
6;percentual_variacao_patamar_carga;07/01/20;1;1;1
6;percentual_variacao_patamar_carga;08/01/20;1;1;1
6;percentual_variacao_patamar_carga;09/01/20;1;1;1
6;percentual_variacao_patamar_carga;10/01/20;1;1;1
6;percentual_variacao_patamar_carga;11/01/20;1;1;1
6;percentual_variacao_patamar_carga;12/01/20;1;1;1
6;percentual_variacao_patamar_carga;01/01/21;1;1;1
