;MES;ANO;1;2;3;4;5;6
332;9;1958;1277;984;558;2679;1506;1327
333;10;1958;1357;1222;496;1498;1259;1111
334;11;1958;1640;1011;762;1262;1481;1653
335;12;1958;1783;1531;848;1439;1798;1321
336;1;1959;3888;4386;1359;936;1872;1614
337;2;1959;3568;3075;1154;1409;2594;2103
338;3;1959;2716;4501;990;719;2882;1224
339;4;1959;2761;2857;905;733;2194;1025
340;5;1959;1723;1714;553;864;1504;934
341;6;1959;1284;1329;445;1098;1574;730
342;7;1959;1080;1066;398;701;1197;562
343;8;1959;1013;895;401;842;1233;628
344;9;1959;835;708;334;1092;1049;529
345;10;1959;809;847;343;774;1225;586
346;11;1959;1107;1759;356;477;1229;518
347;12;1959;1730;1790;685;418;1641;534
348;1;1960;3019;3239;1349;390;2133;1083
349;2;1960;3739;4195;1130;643;3068;1027
350;3;1960;3979;4401;1575;492;2321;1083
351;4;1960;2196;3044;804;640;2087;1179
352;5;1960;1713;2259;638;600;1580;1155
353;6;1960;1269;1683;546;882;1322;1163
354;7;1960;1160;1355;482;640;1229;948
355;8;1960;1029;886;396;1935;1460;1021
356;9;1960;815;686;335;1932;1245;701
357;10;1960;844;848;361;2072;1495;896
358;11;1960;1354;1857;599;2168;1813;1161
359;12;1960;2389;3381;1112;852;1239;793
360;1;1961;4870;5672;2024;722;2665;911
361;2;1961;5411;6945;1323;636;1817;973
362;3;1961;5806;5944;1537;2443;4698;1687
363;4;1961;3248;3216;970;1300;3252;2672
364;5;1961;2727;2653;853;1200;2310;1580
365;6;1961;1778;1790;541;1048;1898;1030
366;7;1961;1394;1368;431;624;1410;706
367;8;1961;1183;1051;387;343;1234;543
368;9;1961;1044;844;363;1773;1275;606
369;10;1961;962;789;340;2473;1233;651
370;11;1961;1489;1258;454;2709;1847;1224
371;12;1961;1510;1960;504;1338;1416;960
372;1;1962;2633;4524;722;858;1559;716
373;2;1962;4469;4919;967;1404;2471;672
374;3;1962;3851;5260;1773;1569;2521;1460
375;4;1962;2289;2925;841;701;2148;784
376;5;1962;1723;2097;542;563;1589;574
377;6;1962;1551;1607;506;747;1584;597
378;7;1962;1227;1190;384;545;1367;476
379;8;1962;1069;964;360;411;1198;456
380;9;1962;1055;903;378;1351;1485;602
381;10;1962;1527;1176;604;2699;1969;1736
382;11;1962;1755;1429;583;1302;1581;952
383;12;1962;2952;5586;662;636;785;839
384;1;1963;4304;4636;1996;706;3562;3060
385;2;1963;3519;4527;1388;1407;3310;2112
386;3;1963;2565;2547;934;1307;3016;1609
387;4;1963;1519;1966;546;1065;2013;1207
388;5;1963;1158;1515;371;685;1364;669
389;6;1963;1042;1328;356;444;1248;603
390;7;1963;884;1189;360;271;907;484
391;8;1963;768;1039;332;237;854;407
392;9;1963;688;886;332;266;822;384
393;10;1963;730;791;306;2261;963;849
394;11;1963;1118;887;454;3738;1300;1587
395;12;1963;784;748;371;1564;1230;1141
396;1;1964;1595;2998;245;614;578;571
397;2;1964;3953;4522;1053;865;1898;2072
398;3;1964;2213;2713;475;650;3013;1009
399;4;1964;1446;2310;304;1307;1680;895
400;5;1964;1306;1494;338;1370;1377;833
401;6;1964;959;1000;254;1142;1087;990
402;7;1964;900;844;265;1327;1204;969
403;8;1964;666;658;293;1997;1139;838
404;9;1964;543;494;261;1922;1236;721
405;10;1964;1066;1063;391;1310;1009;723
406;11;1964;1399;1672;416;713;1339;794
407;12;1964;2262;2878;732;754;1226;1214
408;1;1965;4655;4081;1733;618;1969;1875
409;2;1965;5877;5172;2302;962;1687;2961
410;3;1965;5862;6653;2227;941;3744;2216
411;4;1965;2972;3998;1009;616;3034;1451
412;5;1965;2693;2583;1058;3021;1405;3370
413;6;1965;2004;1852;715;1285;1318;1704
414;7;1965;1832;1507;570;3001;1181;2063
415;8;1965;1429;1158;415;1559;1149;1347
416;9;1965;1261;913;317;1614;702;945
417;10;1965;1798;1574;838;3574;1087;1965
418;11;1965;2212;2393;760;2456;796;1128
419;12;1965;3523;4000;1513;2826;1529;2152
420;1;1966;5294;5816;1325;1608;1834;1850
421;2;1966;4276;7560;1233;2851;1871;2212
422;3;1966;5335;5549;1345;1901;2959;1589
423;4;1966;3153;3653;681;830;2783;1194
424;5;1966;2328;2759;519;548;2361;994
425;6;1966;1618;1976;375;924;2177;771
426;7;1966;1293;1602;316;1393;1731;787
427;8;1966;1056;1371;314;695;1445;589
428;9;1966;1014;1328;358;1550;1114;856
429;10;1966;1368;1569;464;2306;1153;1068
430;11;1966;2625;2179;619;2058;1890;1426
431;12;1966;2658;3136;1120;1360;889;1031
432;1;1967;6257;4145;1641;1340;2254;1332
433;2;1967;5744;4974;1701;1463;3225;1452
434;3;1967;4131;4488;1340;2125;3509;1583
435;4;1967;2714;3281;753;994;2889;864
436;5;1967;1927;2272;483;437;2087;575
437;6;1967;1613;2115;604;977;1521;1093
438;7;1967;1342;1359;440;831;1500;881
439;8;1967;1165;1103;293;908;1208;644
440;9;1967;1071;976;399;1054;1116;659
441;10;1967;960;888;501;746;1149;564
442;11;1967;1880;1838;710;866;1254;602
443;12;1967;2609;3442;907;1195;1518;848
444;1;1968;3663;3671;1550;727;2822;1904
445;2;1968;2158;4245;807;642;2214;1261
446;3;1968;2391;4700;753;386;2908;888
447;4;1968;1373;2801;572;478;1877;660
448;5;1968;1067;1942;448;453;1645;562
449;6;1968;917;1567;422;326;1235;519
450;7;1968;817;1305;350;446;1083;432
451;8;1968;836;1238;350;301;990;441
452;9;1968;816;1043;306;285;1053;379
453;10;1968;907;1492;342;588;589;493
454;11;1968;850;2039;258;1004;864;429
455;12;1968;2231;3110;394;831;1307;580
456;1;1969;1621;2243;382;1975;1869;606
457;2;1969;2297;2555;418;1104;2276;658
458;3;1969;2002;2186;396;1120;2130;627
459;4;1969;1211;1574;305;2340;1896;586
460;5;1969;863;1326;180;1454;1143;482
461;6;1969;868;927;238;2986;1100;1039
462;7;1969;731;777;190;1918;916;780
463;8;1969;711;629;176;765;707;513
464;9;1969;541;517;151;749;658;418
465;10;1969;921;915;318;2082;716;1258
466;11;1969;2254;2787;664;1770;1147;2012
