idSubmercado;AttMatriz;Iteradores;1
4;percentual_variacao_patamar_carga;09/01/2024;1.058
4;percentual_variacao_patamar_carga;10/01/2024;1.0473
4;percentual_variacao_patamar_carga;11/01/2024;1.0521
4;percentual_variacao_patamar_carga;12/01/2024;1.0428
5;percentual_variacao_patamar_carga;01/01/2020;0
5;percentual_variacao_patamar_carga;02/01/2020;0
5;percentual_variacao_patamar_carga;03/01/2020;0
5;percentual_variacao_patamar_carga;04/01/2020;0
5;percentual_variacao_patamar_carga;05/01/2020;0
5;percentual_variacao_patamar_carga;06/01/2020;0
5;percentual_variacao_patamar_carga;07/01/2020;0
5;percentual_variacao_patamar_carga;08/01/2020;0
5;percentual_variacao_patamar_carga;09/01/2020;0
5;percentual_variacao_patamar_carga;10/01/2020;0
5;percentual_variacao_patamar_carga;11/01/2020;0
5;percentual_variacao_patamar_carga;12/01/2020;0
5;percentual_variacao_patamar_carga;01/01/2021;0
5;percentual_variacao_patamar_carga;02/01/2021;0
5;percentual_variacao_patamar_carga;03/01/2021;0
5;percentual_variacao_patamar_carga;04/01/2021;0
5;percentual_variacao_patamar_carga;05/01/2021;0
5;percentual_variacao_patamar_carga;06/01/2021;0
5;percentual_variacao_patamar_carga;07/01/2021;0
5;percentual_variacao_patamar_carga;08/01/2021;0
5;percentual_variacao_patamar_carga;09/01/2021;0
5;percentual_variacao_patamar_carga;10/01/2021;0
5;percentual_variacao_patamar_carga;11/01/2021;0
5;percentual_variacao_patamar_carga;12/01/2021;0
5;percentual_variacao_patamar_carga;01/01/2022;0
5;percentual_variacao_patamar_carga;02/01/2022;0
5;percentual_variacao_patamar_carga;03/01/2022;0
5;percentual_variacao_patamar_carga;04/01/2022;0
5;percentual_variacao_patamar_carga;05/01/2022;0
5;percentual_variacao_patamar_carga;06/01/2022;0
5;percentual_variacao_patamar_carga;07/01/2022;0
5;percentual_variacao_patamar_carga;08/01/2022;0
5;percentual_variacao_patamar_carga;09/01/2022;0
5;percentual_variacao_patamar_carga;10/01/2022;0
5;percentual_variacao_patamar_carga;11/01/2022;0
5;percentual_variacao_patamar_carga;12/01/2022;0
5;percentual_variacao_patamar_carga;01/01/2023;0
5;percentual_variacao_patamar_carga;02/01/2023;0
5;percentual_variacao_patamar_carga;03/01/2023;0
5;percentual_variacao_patamar_carga;04/01/2023;0
5;percentual_variacao_patamar_carga;05/01/2023;0
5;percentual_variacao_patamar_carga;06/01/2023;0
5;percentual_variacao_patamar_carga;07/01/2023;0
5;percentual_variacao_patamar_carga;08/01/2023;0
5;percentual_variacao_patamar_carga;09/01/2023;0
5;percentual_variacao_patamar_carga;10/01/2023;0
5;percentual_variacao_patamar_carga;11/01/2023;0
5;percentual_variacao_patamar_carga;12/01/2023;0
5;percentual_variacao_patamar_carga;01/01/2024;0
5;percentual_variacao_patamar_carga;02/01/2024;0
5;percentual_variacao_patamar_carga;03/01/2024;0
5;percentual_variacao_patamar_carga;04/01/2024;0
5;percentual_variacao_patamar_carga;05/01/2024;0
5;percentual_variacao_patamar_carga;06/01/2024;0
5;percentual_variacao_patamar_carga;07/01/2024;0
5;percentual_variacao_patamar_carga;08/01/2024;0
5;percentual_variacao_patamar_carga;09/01/2024;0
5;percentual_variacao_patamar_carga;10/01/2024;0
5;percentual_variacao_patamar_carga;11/01/2024;0
5;percentual_variacao_patamar_carga;12/01/2024;0
6;percentual_variacao_patamar_carga;01/01/2020;1
6;percentual_variacao_patamar_carga;02/01/2020;1
6;percentual_variacao_patamar_carga;03/01/2020;1
6;percentual_variacao_patamar_carga;04/01/2020;1
6;percentual_variacao_patamar_carga;05/01/2020;1
6;percentual_variacao_patamar_carga;06/01/2020;1
6;percentual_variacao_patamar_carga;07/01/2020;1
6;percentual_variacao_patamar_carga;08/01/2020;1
6;percentual_variacao_patamar_carga;09/01/2020;1
6;percentual_variacao_patamar_carga;10/01/2020;1
6;percentual_variacao_patamar_carga;11/01/2020;1
6;percentual_variacao_patamar_carga;12/01/2020;1
6;percentual_variacao_patamar_carga;01/01/2021;1
